epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,376.053,1.31385,0.93252,1.17916,0.91417,0.94211,0.95277,0.57256,1.28845,1.10925,1.148,0.000332903,0.000332903,0.0670426
2,738.294,1.25847,0.72212,1.15005,0.98749,0.95777,0.97948,0.63856,1.19219,0.58422,1.09131,0.000665585,0.000665585,0.034042
3,1101.11,1.24071,0.68644,1.1369,0.9787,0.96359,0.97781,0.63302,1.22908,0.57752,1.09233,0.000995668,0.000995668,0.00103873
4,1461.93,1.22694,0.65018,1.13317,0.9829,0.96606,0.97733,0.67434,1.10458,0.54684,1.05688,0.000991232,0.000991232,0.000991232
5,1818.69,1.21155,0.63063,1.12066,0.98382,0.96534,0.98057,0.66208,1.12025,0.5222,1.05688,0.000984449,0.000984449,0.000984449
6,2168.77,1.19107,0.60891,1.11138,0.98006,0.96382,0.97855,0.64884,1.17544,0.50652,1.05951,0.000975773,0.000975773,0.000975773
7,2516.84,1.19409,0.59736,1.10906,0.98667,0.96735,0.98201,0.66375,1.14056,0.49872,1.0433,0.000965239,0.000965239,0.000965239
8,2864.87,1.185,0.59323,1.10065,0.98879,0.96452,0.98019,0.66431,1.14746,0.49756,1.05118,0.000952889,0.000952889,0.000952889
9,3213.2,1.1755,0.58717,1.10534,0.99229,0.96825,0.98213,0.66311,1.14426,0.48787,1.05448,0.000938772,0.000938772,0.000938772
10,3561.13,1.1677,0.57547,1.09855,0.9839,0.96825,0.98148,0.67588,1.10041,0.48522,1.04366,0.000922942,0.000922942,0.000922942
11,3910.43,1.15099,0.56093,1.09304,0.99291,0.96359,0.98135,0.65829,1.15758,0.47652,1.06136,0.000905463,0.000905463,0.000905463
12,4258.4,1.15528,0.55208,1.09415,0.99331,0.97008,0.98209,0.67522,1.10652,0.46043,1.03623,0.000886404,0.000886404,0.000886404
13,4606.78,1.14784,0.54974,1.08788,0.986,0.97199,0.98234,0.67725,1.0908,0.44718,1.02869,0.000865839,0.000865839,0.000865839
14,4955.27,1.14142,0.54276,1.08175,0.98769,0.97361,0.98744,0.67849,1.09414,0.45745,1.03244,0.000843851,0.000843851,0.000843851
15,5303.25,1.14107,0.53489,1.08535,0.99245,0.97199,0.98249,0.68315,1.08412,0.45525,1.03065,0.000820525,0.000820525,0.000820525
16,5650.78,1.13563,0.52541,1.08445,0.98919,0.97199,0.98557,0.68169,1.09485,0.45114,1.04019,0.000795954,0.000795954,0.000795954
17,5999.11,1.12537,0.51635,1.08326,0.99332,0.97206,0.98922,0.69227,1.06826,0.43482,1.02201,0.000770234,0.000770234,0.000770234
18,6346.64,1.12172,0.5174,1.07648,0.99617,0.97211,0.98473,0.68527,1.08599,0.45093,1.03067,0.000743468,0.000743468,0.000743468
19,6694.53,1.11356,0.50665,1.07361,0.98863,0.97414,0.98344,0.66678,1.1323,0.42986,1.04007,0.000715761,0.000715761,0.000715761
20,7042.82,1.11418,0.50581,1.0707,0.99288,0.96919,0.98303,0.66962,1.1212,0.4423,1.03761,0.000687222,0.000687222,0.000687222
21,7391.11,1.11154,0.50072,1.07183,0.99401,0.97199,0.98287,0.68284,1.09065,0.41764,1.02275,0.000657963,0.000657963,0.000657963
22,7740.42,1.10493,0.49385,1.06888,0.99134,0.97292,0.98438,0.68572,1.0888,0.41529,1.02656,0.000628101,0.000628101,0.000628101
23,8088.61,1.1066,0.48538,1.0671,0.99334,0.97538,0.98712,0.6903,1.08009,0.41158,1.01944,0.000597754,0.000597754,0.000597754
24,8436.35,1.1039,0.48645,1.0597,0.9946,0.97572,0.98458,0.70011,1.0388,0.40466,1.00834,0.00056704,0.00056704,0.00056704
25,8784.82,1.10149,0.4867,1.05816,0.99476,0.97386,0.9917,0.70148,1.04076,0.40353,1.01058,0.000536081,0.000536081,0.000536081
26,9132.48,1.08695,0.4775,1.05989,0.99044,0.97852,0.98384,0.70561,1.03358,0.39982,1.01191,0.000505,0.000505,0.000505
27,9479.98,1.08808,0.47158,1.0599,0.99376,0.97572,0.9907,0.70087,1.0341,0.39517,1.0034,0.000473919,0.000473919,0.000473919
28,9827.96,1.08413,0.46881,1.05432,0.99523,0.97455,0.9928,0.70482,1.04453,0.38586,1.00608,0.00044296,0.00044296,0.00044296
29,10175.8,1.08194,0.46739,1.05058,0.99218,0.97666,0.99212,0.70468,1.04423,0.39237,1.00861,0.000412246,0.000412246,0.000412246
30,10523.5,1.07817,0.45878,1.05559,0.99492,0.97479,0.99306,0.69898,1.04998,0.39042,1.00976,0.000381899,0.000381899,0.000381899
31,10870.5,1.06489,0.45386,1.04403,0.99333,0.97354,0.99048,0.70674,1.03566,0.38953,1.00556,0.000352037,0.000352037,0.000352037
32,11219.5,1.06864,0.45248,1.04805,0.99324,0.97759,0.99168,0.70825,1.02923,0.38651,1.00508,0.000322778,0.000322778,0.000322778
33,11568.5,1.05916,0.44681,1.04574,0.98815,0.97852,0.99245,0.71118,1.02485,0.38005,1.00112,0.000294239,0.000294239,0.000294239
34,11916.7,1.05526,0.44148,1.04228,0.99129,0.97759,0.99188,0.70453,1.03247,0.37063,1.00286,0.000266532,0.000266532,0.000266532
35,12265.2,1.05152,0.43594,1.04071,0.99334,0.97432,0.99329,0.70552,1.03494,0.3728,1.00162,0.000239766,0.000239766,0.000239766
36,12613.1,1.04602,0.43423,1.03907,0.99523,0.97501,0.99324,0.70831,1.02655,0.3702,0.99959,0.000214046,0.000214046,0.000214046
37,12960.8,1.04415,0.43126,1.03886,0.9924,0.97574,0.99126,0.70994,1.02769,0.36879,0.99962,0.000189475,0.000189475,0.000189475
38,13308.6,1.0436,0.42841,1.03794,0.99544,0.97479,0.99281,0.71191,1.0239,0.36465,0.99735,0.000166149,0.000166149,0.000166149
39,13656.5,1.04415,0.42582,1.03524,0.99713,0.97452,0.9936,0.70862,1.0249,0.36251,0.9992,0.000144161,0.000144161,0.000144161
40,14004.4,1.03496,0.42098,1.03506,0.99597,0.97386,0.99264,0.71146,1.02169,0.35815,0.99566,0.000123596,0.000123596,0.000123596
41,14371,0.99056,0.35967,1.02277,0.99054,0.97769,0.99185,0.70952,1.0163,0.3589,0.99692,0.000104537,0.000104537,0.000104537
42,14717.7,0.98853,0.35439,1.01898,0.991,0.97852,0.99187,0.71245,1.01563,0.35667,0.99769,8.70577e-05,8.70577e-05,8.70577e-05
43,15065.7,0.9764,0.34939,1.02026,0.99116,0.97759,0.99217,0.71648,1.00895,0.3539,0.99348,7.12282e-05,7.12282e-05,7.12282e-05
44,15414.6,0.97672,0.34879,1.01531,0.99111,0.97759,0.99259,0.71204,1.01658,0.35157,0.99515,5.71106e-05,5.71106e-05,5.71106e-05
45,15761.1,0.97395,0.34789,1.01488,0.99116,0.97666,0.99288,0.71547,1.00815,0.35272,0.99137,4.47606e-05,4.47606e-05,4.47606e-05
46,16107.4,0.97792,0.34558,1.01898,0.9933,0.97572,0.99251,0.71567,1.01329,0.35202,0.99268,3.4227e-05,3.4227e-05,3.4227e-05
47,16453.8,0.97139,0.34148,1.0134,0.9924,0.97535,0.99301,0.71727,1.00712,0.34995,0.99099,2.55513e-05,2.55513e-05,2.55513e-05
48,16799.7,0.97007,0.3423,1.01237,0.99241,0.97615,0.99298,0.71394,1.01279,0.34881,0.99276,1.87678e-05,1.87678e-05,1.87678e-05
49,17146.5,0.96695,0.33975,1.01504,0.99241,0.97695,0.9934,0.71636,1.01246,0.34825,0.9917,1.39032e-05,1.39032e-05,1.39032e-05
50,17493.1,0.96489,0.33857,1.01186,0.99158,0.97666,0.9934,0.71705,1.00797,0.34805,0.99098,1.09768e-05,1.09768e-05,1.09768e-05
